id,funded_amount,loan_amount,activity,sector,use,partner_id,repayment_interval
662134,525,525,Personal Housing Expenses,Housing,to repair his house in order to improve his family's living situation.,106,monthly
662244,1025,1025,Farming,Agriculture,to buy a piece of land to enlarge the area she farms.,106,monthly
662171,500,500,Home Energy,Personal Use,to invest in the purchase of a solar home system.,106,monthly
662138,1000,1000,Home Energy,Personal Use,to invest in the purchase of a solar home system.,106,monthly
662183,1000,1000,Personal Housing Expenses,Housing,to build a safe latrine for use at home.,106,monthly
661991,1250,1250,Higher education costs,Education,to cover the costs of her school allowances for the first semester and buy supplies such as books and uniforms.,106,monthly
662008,1000,1000,Farming,Agriculture,to purchase farmland for cultivating rice and vegetables.,9,monthly
662219,275,275,Personal Housing Expenses,Housing,to build a safe latrine for use at home.,106,monthly
662012,1000,1000,Cattle,Agriculture,"to purchase cattle to breed, producing calves to sell",9,monthly
662101,525,525,Farming,Agriculture,to buy a parcel of land for growing rice,106,bullet
662200,500,500,Personal Housing Expenses,Housing,to build a hygienic latrine for the sake of her children for sanitation improvement.,106,monthly
661982,300,300,Farming,Agriculture,to buy fertilizer and pesticide to maintain her rice farm.   ,61,monthly
662010,1200,1200,Farming,Agriculture,to purchase fertilzer and rice seed to grow in the dry season,9,monthly
662088,1025,1025,Farming,Agriculture,to purchase a plot of land to enlarge her farming area.,106,monthly
662651,650,650,Personal Housing Expenses,Housing,to buy the materials needed to complete his latrine and pay for labor costs.,106,monthly
662770,1025,1025,Farming,Agriculture,to buy a piece of land to expand her farming area.,106,monthly
662667,525,525,Personal Housing Expenses,Housing,to build a proper latrine for her family.,106,monthly
662646,650,650,Farming,Agriculture,to rent two hectares of farmland to grow cassava. ,106,monthly
662682,400,400,Farming,Agriculture,to buy an ox for the maintenance of the rice fields.,106,monthly
662663,600,600,Farming,Agriculture,to buy a threshing machine.,106,monthly
662711,1000,1000,General Store,Retail,to restock her store with basic commodities and also make home renovations.,106,monthly
662644,275,275,Farming,Agriculture,to rent a piece of land for growing cassava crop.,106,bullet
662653,1025,1025,Personal Housing Expenses,Housing,to build a hygienic latrine for her family.,106,monthly
662743,600,600,Personal Housing Expenses,Housing,to build a hygienic latrine for her family.,106,monthly
662647,525,525,Personal Housing Expenses,Housing,to build a household latrine to improve the family's sanitation practices.,106,monthly
663467,400,400,Personal Housing Expenses,Housing,to buy wood for her home renovations.,106,monthly
663244,500,500,Personal Housing Expenses,Housing,"to buy construction materials such as cement, sand and bricks to build a proper latrine for her family.",106,monthly
663463,1000,1000,Farming,Agriculture,to buy a piece of land to enlarge her farming area.,106,monthly
663334,450,450,Agriculture,Agriculture,To buy irrigation equipment and inputs for her vegetable farm,311,irregular
663459,1025,1025,Animal Sales,Agriculture,to purchase a cow for breeding.,106,monthly
663454,775,775,Farming,Agriculture,to buy a plot of farmland ,106,monthly
663472,525,525,Transportation,Transportation, to buy a horse and a trailer  ,106,monthly
663242,1025,1025,Personal Housing Expenses,Housing, to buy material to build a proper latrine for her family,106,monthly
663449,275,275,Vehicle Repairs,Services,to buy additional spare parts for his repair shop.,106,monthly
663239,650,650,Personal Housing Expenses,Housing,to purchase materials to build a safe latrine for her family,106,monthly
663878,1500,1500,Higher education costs,Education,to pay the school fee for her daughter.,204,monthly
663863,1175,1175,Farming,Agriculture,to pay for labor fee in harvesting rice,204,monthly
663872,1100,1100,Farming,Agriculture,to buy a plot of farmland.,204,monthly
663893,525,525,Farming,Agriculture,to buy fertilizer for her cassava.,204,monthly
663905,525,525,Farming,Agriculture,to buy fertilizers for her rubber tree.,204,monthly
663866,1075,1075,Pigs,Agriculture,to buy piglets and pig feed for nourishing them,204,monthly
663808,1300,1300,Personal Housing Expenses,Housing,To build a fence around her house.,61,monthly
664334,600,600,Livestock,Agriculture,to buy cows in order to get benefit from selling,9,monthly
664386,575,575,Personal Housing Expenses,Housing,to buy materials and pay labor costs to build a safe latrine for the household.,106,monthly
664329,1025,1025,Farm Supplies,Agriculture,"to buy farming inputs such as seeds, fertilizers, and insecticides.",106,monthly
664271,1000,1000,Farming,Agriculture,to purchase fertilizer to use for her farming,9,monthly
664381,1000,1000,Personal Housing Expenses,Housing,to build a safe latrine for her family.,106,monthly
664327,1000,1000,Farming,Agriculture,to buy a plot of land for tilling rice.,106,monthly
664326,500,500,Farming,Agriculture,to buy a plowing machine for the maintenance of the rice fields.,106,monthly
664346,1500,1500,Farming,Agriculture,"to buy seed, petroleum and fertilizer for her field in the dry season.",9,monthly
664328,1000,1000,Construction Supplies,Construction,to buy a boards ( for building pillars) for construction.,9,monthly
664338,700,700,Personal Housing Expenses,Housing,to buy wood to build her house and to pay construction fees.,9,monthly
664373,525,525,Personal Housing Expenses,Housing,to build a hygienic latrine for her family.,106,monthly
664352,1000,1000,Home Products Sales,Retail,To buy more products for her small business,9,monthly
664274,1500,1500,Transportation,Transportation,To buy a hand tractor to transport charcoal and firewood,9,monthly
664368,800,800,Farming,Agriculture,To buy farmland to do farming ,9,monthly
664375,1000,1000,Animal Sales,Agriculture,to buy and raise a cow for resale.,9,monthly
664356,600,600,Personal Housing Expenses,Housing,to fill up her land to protect her house from flooding.,9,monthly
664322,1500,1500,Personal Housing Expenses,Housing,To renovate her house,9,monthly
664364,1300,1300,Cattle,Agriculture,To buy cows to breed,9,monthly
664348,1000,1000,Home Products Sales,Retail,to buy baskets from other makers to make more profit.,9,monthly
664399,1025,1025,Personal Housing Expenses,Housing,to build a hygienic latrine for her family.,106,monthly
664325,1000,1000,Farming,Agriculture,to buy a water pump for balancing the water at her rice paddy and to buy fertilizers for her crops.,106,monthly
664341,800,800,Cattle,Agriculture,to buy a cow to raise and to breed.,9,monthly
664379,1500,1500,Animal Sales,Agriculture,"to buy  cows, to feed them until they multiply and to sell them to make a profit.",9,monthly
664790,200,200,Vehicle,Personal Use,to add to her own money to buy a new motorbike for commuting to work,61,monthly
664801,1100,1100,Personal Housing Expenses,Housing,to build a concreted brick room under her wooden house.  ,61,monthly
664786,1000,1000,Motorcycle Transport,Transportation,To replace her husband's old motorcycle. ,61,monthly
664797,1000,1000,Motorcycle Transport,Transportation,to buy a new motorcycle for her son to drive for work.  ,61,monthly
664787,275,275,Farming,Agriculture,to buy a plot of land for farming,106,monthly
664825,650,650,Personal Housing Expenses,Housing,to build a safe latrine for her household.,106,monthly
664794,500,500,Cattle,Agriculture,To purchase one more cow to raise.  ,61,monthly
664788,500,500,Fish Selling,Food,to expand her business by buying more fish to resell.  ,61,monthly
664771,600,600,Food,Food,To launch a new business selling Lies (clams) and repair the house where she lives. ,61,monthly
664769,1500,1500,Farming,Agriculture,"To buy seeds, fertilizers and pesticides to maintain her farm and build a restroom for her family to use.",61,monthly
664800,1000,1000,Vehicle,Personal Use,to purchase a motorbike for her children to drive to school.  ,61,monthly
664776,1000,1000,Higher education costs,Education,To buy a computer for his son and connect his house to a private utility service. ,61,monthly
664792,1500,1500,Vehicle,Personal Use,to buy a motorcycle for commuting to work  ,61,monthly
665293,800,800,Vehicle,Personal Use,to buy a motorcycle for her husband to commute to work. ,61,monthly
665265,775,775,Farming,Agriculture,to buy fertilizers for her farmland.,204,monthly
665267,1325,1325,Agriculture,Agriculture,to buy seeds for her farmland.,204,monthly
665272,725,725,Personal Housing Expenses,Housing,to renovate her old house.,204,monthly
665279,775,775,Personal Housing Expenses,Housing,to build a decent house for living in,204,monthly
665264,875,875,Farming,Agriculture,to buy a plot of farmland.,204,monthly
665261,1425,1425,Farming,Agriculture,to plow the rice field.,204,monthly
665274,525,525,Farming,Agriculture,to pay to harvest rice.,204,monthly
665269,1175,1175,Farming,Agriculture,to harvest rice.,204,monthly
665263,650,650,Farming,Agriculture,to buy fertilizers and seeds for her farmland.,204,monthly
665280,700,700,Farming,Agriculture,to buy a plot of farmland,204,monthly
665604,1500,1500,Taxi,Transportation,to purchase a new motorbike for her husband's taxi service,9,monthly
665694,1025,1025,Farming,Agriculture,to buy fertilizers and seeds for her farmland.,204,monthly
665675,525,525,Farming,Agriculture,to buy fertilizers for her farmland,204,monthly
665682,625,625,Farming,Agriculture,to pay for labor fees for harvesting rice,204,monthly
665595,1200,1200,Personal Housing Expenses,Housing,to purchase land and a house.,9,monthly
665686,725,725,Farming,Agriculture,to harvest rice,204,monthly
665592,1500,1500,Personal Housing Expenses,Housing,to buy an iron and wood to build a house.,9,monthly
665600,1500,1500,Retail,Retail,to purchase clothes to resell.,9,monthly
665642,400,400,Pigs,Agriculture,to buy piglets,204,monthly
665603,1000,1000,Grocery Store,Food,to purchase more drinks ,9,monthly
665638,1500,1500,Food,Food,to purchase cashew nuts to sell.,9,monthly
665606,1000,1000,Personal Housing Expenses,Housing,to purchase construction materials for building a gate,9,monthly
665721,525,525,Farming,Agriculture,to pay for harvesting fees,204,monthly
665590,1000,1000,Food Production/Sales,Food,to enlarge her small store,9,monthly
665715,625,625,Farming,Agriculture, to pay for harvesting rice,204,monthly
665654,575,575,Farming,Agriculture,to pay for labor fees,204,monthly
665643,1000,1000,Cattle,Agriculture,to purchase cattle to breed and use for her farming ,9,monthly
665698,675,675,Farming,Agriculture,to buy fertilizer and seeds for her farmland.,204,monthly
665612,1500,1500,Farming,Agriculture,to buy farmland,9,monthly
665610,1000,1000,Transportation,Transportation,to purchase a motorbike for her husband to use as transport for her small business,9,monthly
665589,1000,1000,Rickshaw,Transportation,to buy a TukTuk for her husband to run public transportation,9,monthly
665637,375,375,Farming,Agriculture,to buy fertilizers and seeds for her farmland,204,monthly
665639,450,450,Farming,Agriculture,to pay for land fees,204,monthly
665607,1500,1500,Personal Housing Expenses,Housing,to build a house for her siblings,9,monthly
665648,1000,1000,Food Stall,Food,"to purchase tables, chairs and utensils to expand her store",9,monthly
665661,900,900,Farming,Agriculture,to buy taro seeds and fertilizers.,204,monthly
666035,925,925,Pigs,Agriculture,to buy more piglets to raise.,204,monthly
666030,1025,1025,Farming,Agriculture,to buy fertilizer for her cassava,204,monthly
666029,1025,1025,Farming,Agriculture,to pay the land fee to grow rice,204,monthly
666039,400,400,Farming,Agriculture,to pay for rice harvesting,204,monthly
666031,1500,1500,Farming,Agriculture,to pay for plowing the field,204,monthly
666041,1000,1000,Farming,Agriculture, to pay labor fees,204,monthly
666037,100,100,Home Appliances,Personal Use,to build a proper latrine for her family to use.,204,monthly
